num,time
2,0.000010
6,0.000010
21,0.000010
25,0.000010
36,0.000010
44,0.000010
47,0.000010
51,0.000010
55,0.000010
59,0.000010
63,0.000010
70,0.000010
74,0.000010
86,0.000010
90,0.000010
94,0.000010
98,0.000010
100,0.000010
105,0.000010
108,0.000010
110,0.000010
113,0.000010
118,0.000010
121,0.000010
138,0.000010
156,0.000010
160,0.000010
164,0.000010
176,0.000010
180,0.000010
190,0.000010
194,0.000010
198,0.000010
206,0.000010
209,0.000010
216,0.000010
220,0.000010
226,0.000010
230,0.000010
234,0.000010
242,0.000010
246,0.000010
250,0.000010
262,0.000012
270,0.000010
283,0.000010
292,0.000010
295,0.000010
299,0.000010
303,0.000010
307,0.000010
315,0.000010
322,0.000010
324,0.000010
326,0.000010
328,0.000010
333,0.000010
336,0.000010
347,0.000010
350,0.000010
353,0.000010
358,0.000010
361,0.000010
368,0.000010
372,0.000010
376,0.000010
379,0.000010
387,0.000010
389,0.000010
391,0.000010
416,0.000010
423,0.000010
432,0.000010
440,0.000010
444,0.000010
451,0.000010
459,0.000010
462,0.000010
466,0.000010
470,0.000010
480,0.000010
483,0.000010
486,0.000010
488,0.000010
495,0.000010
499,0.000010
502,0.000010
505,0.000010
516,0.000010
520,0.000010
524,0.000010
528,0.000010
533,0.000010
537,0.000010
541,0.000010
545,0.000010
553,0.000010
557,0.000010
561,0.000010
563,0.000010
572,0.000010
579,0.000010
592,0.000010
599,0.000011
606,0.000010
613,0.000010
616,0.000010
619,0.000010
621,0.000010
625,0.000010
628,0.000010
631,0.000010
634,0.000010
641,0.000010
645,0.000010
648,0.000010
655,0.000010
666,0.000010
673,0.000010
679,0.000010
687,0.000010
690,0.000010
693,0.000010
700,0.000010
704,0.000010
708,0.000010
716,0.000010
723,0.000010
727,0.000010
733,0.000010
736,0.000010
740,0.000010
748,0.000010
751,0.000010
754,0.000010
761,0.000010
765,0.000010
769,0.000010
777,0.000010
784,0.000010
796,0.000010
800,0.000010
802,0.000010
805,0.000010
813,0.000010
816,0.000010
824,0.000010
828,0.000010
832,0.000010
835,0.000010
843,0.000010
854,0.000010
858,0.000010
866,0.000010
873,0.000010
881,0.000010
885,0.000010
889,0.000010
893,0.000010
896,0.000010
900,0.000010
906,0.000010
909,0.000010
915,0.000010
917,0.000010
920,0.000010
923,0.000010
927,0.000010
930,0.000010
933,0.000010
937,0.000010
942,0.000010
948,0.000010
951,0.000010
957,0.000010
959,0.000010
962,0.000010
967,0.000010
969,0.000010
974,0.000010
977,0.000010
981,0.000010
989,0.000010
1000,0.000010
1004,0.000010
1007,0.000010
1009,0.000010
1013,0.000010
1024,0.000010
1035,0.000010
1039,0.000010
1042,0.000010
1049,0.000010
1059,0.000010
1062,0.000010
1064,0.000010
1068,0.000010
1072,0.000010
1075,0.000010
1079,0.000010
1086,0.000010
1093,0.000010
1100,0.000010
1103,0.000010
1105,0.000010
1115,0.000010
1118,0.000010
1120,0.000010
1126,0.000010
1129,0.000010
1132,0.000010
1136,0.000010
1140,0.000010
1143,0.000010
1147,0.000010
1151,0.000010
1158,0.000010
1172,0.000010
1175,0.000010
1182,0.000010
1186,0.000011
1189,0.000009
1193,0.000010
1196,0.000010
1203,0.000010
1206,0.000010
1209,0.000010
1212,0.000010
1214,0.000010
1217,0.000010
1224,0.000010
1233,0.000010
1237,0.000010
1240,0.000010
1244,0.000010
1251,0.000010
1254,0.000010
1258,0.000010
1267,0.000010
1270,0.000010
1286,0.000010
1288,0.000010
1291,0.000010
1296,0.000010
1300,0.000010
1308,0.000010
1318,0.000010
1322,0.000010
1326,0.000010
1330,0.000010
1336,0.000010
1340,0.000010
1344,0.000010
1350,0.000010
1354,0.000010
1361,0.000010
1368,0.000010
1372,0.000010
1382,0.000010
1385,0.000010
1389,0.000010
1393,0.000010
1397,0.000010
1401,0.000010
1404,0.000010
1407,0.000010
1414,0.000010
1418,0.000010
1422,0.000010
1426,0.000010
1430,0.000010
1434,0.000010
1437,0.000010
1439,0.000010
1446,0.000010
1450,0.000010
1469,0.000010
1472,0.000010
1476,0.000010
1482,0.000010
1484,0.000010
1489,0.000010
